id;name;it_product_owner;product_owner
1;Nigeria;Frozen Borders;Gabon holistic
2;Global Concrete;heuristic;Hat
3;Bedfordshire Generic;Group portals;cutting-edge action-items
4;Nevada;Home Pennsylvania;Towels moratorium Ball
5;Rubber;Lesotho parsing;solid state Small Wooden Bike
6;navigate;Architect invoice;Function-based Handmade Wooden Salad
7;back up;Pants;Cross-platform Computers Sleek
8;Chips;Integration support;Buckinghamshire Branding
9;Bypass;invoice International Accountability;Villages withdrawal
10;Polarised generating well-modulated;Checking Account;transmitting Auto Loan Account
